x,s,v,rho_over_rho0
8.202075165357998488e-07,2.915779607534541242e-06,-4.733215801512527854e+00,9.999999999997042366e-01
8.265050007805051548e-07,2.938166717831970115e-06,-4.733215801512511867e+00,9.999999999996923572e-01
8.328508365789486722e-07,2.960725714477110134e-06,-4.733215801512494991e+00,9.999999999996802558e-01
8.392453951702884289e-07,2.983457917198863877e-06,-4.733215801512479004e+00,9.999999999996680433e-01
8.456890506440240241e-07,3.006364655858897265e-06,-4.733215801512461240e+00,9.999999999996553868e-01
8.521821799618873472e-07,3.029447270529459446e-06,-4.733215801512444365e+00,9.999999999996428413e-01
8.587251629798859758e-07,3.052707111571741812e-06,-4.733215801512425713e+00,9.999999999996295186e-01
8.653183824705315428e-07,3.076145539714904481e-06,-4.733215801512407950e+00,9.999999999996163069e-01
8.719622241452306296e-07,3.099763926135667744e-06,-4.733215801512388410e+00,9.999999999996023181e-01
8.786570766768479234e-07,3.123563652538528631e-06,-4.733215801512369758e+00,9.999999999995885513e-01
8.854033317224510638e-07,3.147546111236611049e-06,-4.733215801512350218e+00,9.999999999995737854e-01
8.922013839462119782e-07,3.171712705233084709e-06,-4.733215801512330678e+00,9.999999999995593525e-01
8.990516310425031414e-07,3.196064848303265909e-06,-4.733215801512309362e+00,9.999999999995445865e-01
9.059544737591585820e-07,3.220603965077309130e-06,-4.733215801512288046e+00,9.999999999995288213e-01
9.129103159209263194e-07,3.245331491123583450e-06,-4.733215801512266729e+00,9.999999999995133892e-01
9.199195644530812070e-07,3.270248873032608425e-06,-4.733215801512246301e+00,9.999999999994976241e-01
9.269826294052377812e-07,3.295357568501710805e-06,-4.733215801512224097e+00,9.999999999994813038e-01
9.340999239753371755e-07,3.320659046420294484e-06,-4.733215801512201004e+00,9.999999999994646505e-01
9.412718645338175234e-07,3.346154786955766917e-06,-4.733215801512177023e+00,9.999999999994477751e-01
9.484988706479797086e-07,3.371846281640155437e-06,-4.733215801512153931e+00,9.999999999994304556e-01
9.557813651065214617e-07,3.397735033457324541e-06,-4.733215801512129950e+00,9.999999999994126920e-01
9.631197739442786640e-07,3.423822556930929678e-06,-4.733215801512104193e+00,9.999999999993947064e-01
9.705145264671446326e-07,3.450110378213005456e-06,-4.733215801512080212e+00,9.999999999993764987e-01
9.779660552771925889e-07,3.476600035173269176e-06,-4.733215801512054455e+00,9.999999999993575139e-01
9.854747962979728265e-07,3.503293077489057518e-06,-4.733215801512027809e+00,9.999999999993381961e-01
9.930411888000215319e-07,3.530191066736003111e-06,-4.733215801512001164e+00,9.999999999993189892e-01
1.000665675426557647e-06,3.557295576479386194e-06,-4.733215801511974519e+00,9.999999999992993382e-01
1.008348702219374548e-06,3.584608192366179140e-06,-4.733215801511946985e+00,9.999999999992787991e-01
1.016090718644943696e-06,3.612130512217842306e-06,-4.733215801511918563e+00,9.999999999992582600e-01
1.023892177620696374e-06,3.639864146123752614e-06,-4.733215801511889254e+00,9.999999999992367217e-01
1.031753535541526715e-06,3.667810716535424530e-06,-4.733215801511859944e+00,9.999999999992158495e-01
1.039675252306489116e-06,3.695971858361408250e-06,-4.733215801511829746e+00,9.999999999991936450e-01
1.047657791345710813e-06,3.724349219062973505e-06,-4.733215801511799548e+00,9.999999999991715516e-01
1.055701619647489515e-06,3.752944458750429487e-06,-4.733215801511768461e+00,9.999999999991485700e-01
1.063807207785622292e-06,3.781759250280284614e-06,-4.733215801511736487e+00,9.999999999991255883e-01
1.071975029946931816e-06,3.810795279353095350e-06,-4.733215801511704512e+00,9.999999999991020516e-01
1.080205563959005628e-06,3.840054244612079052e-06,-4.733215801511671650e+00,9.999999999990776267e-01
1.088499291318157336e-06,3.869537857742518791e-06,-4.733215801511637899e+00,9.999999999990536459e-01
