Xi,fb_core,eta,f_r,f_rho,eps,converged,nodes,method,valid
0.03,0.2,0.5,0.8618493565879136,1.3208260726419419,-0.6225283074891703,1,0,direct,1
0.03,0.2,1.0,0.8791269859328539,1.3416257610532307,-0.7186582710802429,1,0,direct,1
0.03,0.2,1.5,0.8793265451142377,1.394653420907281,-0.8784332676628233,1,0,direct,1
0.03,0.2,2.0,0.8766223030282966,1.4455290286217106,-1.1195210816742298,1,0,direct,1
0.03,0.2,5.0,0.8672567101750701,1.577977902569683,-4.285878904156342,1,0,direct,1
0.03,0.3,0.1,0.7045968288608239,1.6629180628426523,-0.5262323685222504,1,0,direct,1
0.03,0.3,0.3,0.7828898793096152,1.536241206847173,-0.585661567788117,1,0,direct,1
0.03,0.3,0.5,0.8176110157250266,1.4909483943988424,-0.6342651371636734,1,0,direct,1
0.03,0.3,1.0,0.8433356049740497,1.5124935791248633,-0.7841062328506053,1,0,direct,1
0.03,0.3,1.5,0.845001586250719,1.585495322309153,-1.0331131869270647,1,0,direct,1
0.03,0.3,2.0,0.8425331023436835,1.6534407594417666,-1.404397861378464,1,0,direct,1
0.03,0.3,5.0,0.83336454323182,1.8172822678877303,-6.18228218706384,1,0,direct,1
0.03,0.4,0.1,0.6355362267550325,1.9923816071627765,-0.5136171793545397,1,0,direct,1
0.03,0.4,0.3,0.7339397297033398,1.7652426646514814,-0.5896516262400551,1,0,direct,1
0.03,0.4,0.5,0.777930017719211,1.684360870436173,-0.6542896817550188,1,0,direct,1
0.03,0.4,1.0,0.8115276007119064,1.6964416682731642,-0.8603006936393699,1,0,direct,1
0.03,0.4,1.5,0.8150564868286584,1.783314911745509,-1.2021607439039517,1,0,direct,1
0.03,0.4,2.0,0.8132709259897049,1.862998355007305,-1.7065241773461177,1,0,direct,1
0.03,0.4,5.0,0.8052271071490168,2.045890108414961,-8.10084488511768,1,0,direct,1
0.03,0.5,0.1,0.5765488584213835,2.412390527313317,-0.5128996107424464,1,0,direct,1
0.03,0.5,0.3,0.6906446401816908,2.033782280655135,-0.6027216771785276,1,0,direct,1
0.03,0.5,0.5,0.7424388544495935,1.9016988963164705,-0.6826833237899603,1,0,direct,1
0.03,0.5,1.0,0.7831870787666915,1.8917781609524573,-0.9463366092358451,1,0,direct,1
0.03,0.5,1.5,0.7887428347568363,1.9860499079596674,-1.3832701766222262,1,0,direct,1
0.03,0.5,2.0,0.7878502218201258,2.072811343359895,-2.022239305190683,1,0,direct,1
0.03,0.5,5.0,0.7812905441710563,2.2660830954905418,-10.03499353224047,1,0,direct,1
0.03,0.8,0.1,0.44949439091333765,4.4022201333186155,-0.5893751259385017,1,0,direct,1
0.03,0.8,0.3,0.5893421846627094,3.1008609310509123,-0.6975205392400062,1,0,direct,1
0.03,0.8,0.5,0.6569242574285069,2.6939669899795713,-0.8160119776514358,1,0,direct,1
0.03,0.8,1.0,0.7145925073018488,2.529870020475282,-1.2538578859881901,1,0,direct,1
0.03,0.8,1.5,0.7260312624187031,2.609948009396686,-1.9811677881391536,1,0,direct,1
0.03,0.8,2.0,0.728007527707349,2.696715541241713,-3.026943926141107,1,0,direct,1
0.03,0.8,5.0,0.7260560129764346,2.888884799389185,-15.897238930759356,1,0,direct,1
0.05,0.0,0.1,0.9411837094967425,1.0767060896546161,-0.6108906162618402,1,0,direct,1
0.05,0.0,0.3,0.9411837094967425,1.0767060896546161,-0.6108906162618402,1,0,direct,1
0.05,0.0,0.5,0.9411837094967425,1.0767060896546161,-0.6108906162618402,1,0,direct,1
0.05,0.0,1.0,0.9411837094967425,1.0767060896546161,-0.6108906162618402,1,0,direct,1
0.05,0.0,1.5,0.9411837094967425,1.0767060896546161,-0.6108906162618402,1,0,direct,1
0.05,0.0,2.0,0.9411837094967425,1.0767060896546161,-0.6108906162618402,1,0,direct,1
0.05,0.0,5.0,0.9411837094967425,1.0767060896546161,-0.6108906162618402,1,0,direct,1
0.05,0.05,0.1,0.894156101860454,1.1556172307520096,-0.5904596668847821,1,0,direct,1
0.05,0.05,0.3,0.9078096924045271,1.1448742169602373,-0.6008558829609356,1,0,direct,1
0.05,0.05,0.5,0.914057273299756,1.1413576907288,-0.6087464025531231,1,0,direct,1
0.05,0.05,1.0,0.9183737480895853,1.1483122344979753,-0.6311591258372787,1,0,direct,1
0.05,0.05,1.5,0.9180101518123915,1.1632239885132394,-0.6681883677216877,1,0,direct,1
0.05,0.05,2.0,0.9167977228008901,1.1785548398460917,-0.7249407939632645,1,0,direct,1
0.05,0.05,5.0,0.9123132123650785,1.2275105058078932,-1.5022180728063266,1,0,direct,1
0.05,0.1,0.1,0.8483155520397733,1.244383696553973,-0.5719320990495702,1,0,direct,1
0.05,0.1,0.3,0.8757960843542666,1.2194907823452126,-0.5925652925166428,1,0,direct,1
0.05,0.1,0.5,0.8882013348349987,1.2110719873449587,-0.6084598922927548,1,0,direct,1
0.05,0.1,1.0,0.8969135750652656,1.224121239937995,-0.6544766728403465,1,0,direct,1
